,Kode Premis,Kalimat Premis,Kode Hypotesis,Kalimat Hypothesis,Anotator I,Anotator II,Anotator III,Anotator IV,Anotator V,Kesimpulan,Genre,Sumber
10,P3004,Dia mendapati suaminya sedang bermain gila dengan wanita lain,H34002,Suami dan wanita lain sedang bermain gila,neutral,neutral,neutral,contradiction,contradiction,neutral,Novel,Sang Petarung 9786027641150
11,P3004,Dia mendapati suaminya sedang bermain gila dengan wanita lain,H34003,Suaminya adalah pria setia,entailment,entailment,entailment,entailment,entailment,entailment,Novel,Sang Petarung 9786027641150
12,P3005,Isyana mesti rela meringkuk dalam jeruji penjara sebagai hukuman atas perbuatannya,H35001,Isyana seorang penjahat,neutral,contradiction,contradiction,contradiction,neutral,contradiction,Novel,Sang Petarung 9786027641150
13,P3005,Isyana mesti rela meringkuk dalam jeruji penjara sebagai hukuman atas perbuatannya,H35002,Isyana mengakui kesalahannya,neutral,neutral,neutral,contradiction,contradiction,neutral,Novel,Sang Petarung 9786027641150
14,P3005,Isyana mesti rela meringkuk dalam jeruji penjara sebagai hukuman atas perbuatannya,H35003,Isyana suka dipenjara,contradiction,entailment,entailment,entailment,contradiction,entailment,Novel,Sang Petarung 9786027641150
15,P3006,Dia pun memulai babak-babak baru hidupnya sebagai seorang petarung,H36001,Isyana memulai karir sebagai petarung,contradiction,neutral,neutral,contradiction,contradiction,contradiction,Novel,Sang Petarung 9786027641150
16,P3006,Dia pun memulai babak-babak baru hidupnya sebagai seorang petarung,H36002,Isyana memiliki hobby bertarung,contradiction,contradiction,neutral,neutral,contradiction,contradiction,Novel,Sang Petarung 9786027641150
17,P3006,Dia pun memulai babak-babak baru hidupnya sebagai seorang petarung,H36003,Profesi isyana adalah seorang penulis,entailment,entailment,entailment,contradiction,entailment,contradiction,Novel,Sang Petarung 9786027641150
18,P3007,"1942, adalah kali terakhir kami melihat orang orang itu menginjakan kaki di tanah ini. ",H37001,Ras kulit putih telah meninggalkan Indonesia,contradiction,neutral,contradiction,contradiction,contradiction,contradiction,Novel,Neraka di Timur Jawa By Gelar Nugraha
19,P3007,"1942, adalah kali terakhir kami melihat orang orang itu menginjakan kaki di tanah ini. ",H37002,Ras kulit putih meninggal dunia,entailment,entailment,entailment,contradiction,contradiction,entailment,Novel,Neraka di Timur Jawa By Gelar Nugraha
20,P3007,"1942, adalah kali terakhir kami melihat orang orang itu menginjakan kaki di tanah ini. ",H37003,Tahun 1942 adalah hari emerdekaan Indonesia,entailment,entailment,entailment,entailment,entailment,entailment,Novel,Neraka di Timur Jawa By Gelar Nugraha
21,P3008,"Satu hal yang kutahu pasti, kedatangan 
mereka tidak akan membawa berita baik bagi bangsa ini. ",H38001,Ras kulit putih membawa berita buruk untuk Indonesia,neutral,contradiction,neutral,neutral,contradiction,neutral,Novel,Neraka di Timur Jawa By Gelar Nugraha
22,P3008,"Satu hal yang kutahu pasti, kedatangan 
mereka tidak akan membawa berita baik bagi bangsa ini. ",H38002,Bangsa indonesia tidak menyukai ras kulit putih,contradiction,neutral,neutral,neutral,contradiction,neutral,Novel,Neraka di Timur Jawa By Gelar Nugraha
23,P3008,"Satu hal yang kutahu pasti, kedatangan 
mereka tidak akan membawa berita baik bagi bangsa ini. ",H38003,Ras kulit putih adalah musuh Indoensia,contradiction,neutral,contradiction,neutral,neutral,neutral,Novel,Neraka di Timur Jawa By Gelar Nugraha
24,P3009,"Soekarno dan Hatta pada saat itu telah 
mengeluarkan perintah umum kepada rakyat Indonesia 
untuk tidak berurusan dengan pasukan Inggris. ",H39001,Pasukan Inggris adalah orang jahat,contradiction,neutral,contradiction,contradiction,contradiction,contradiction,Novel,Neraka di Timur Jawa By Gelar Nugraha
25,P3009,"Soekarno dan Hatta pada saat itu telah 
mengeluarkan perintah umum kepada rakyat Indonesia 
untuk tidak berurusan dengan pasukan Inggris. ",H39002,Pasukan inggris dibenci oleh rakyat Indonesia,contradiction,contradiction,neutral,contradiction,contradiction,contradiction,Novel,Neraka di Timur Jawa By Gelar Nugraha
26,P3009,"Soekarno dan Hatta pada saat itu telah 
mengeluarkan perintah umum kepada rakyat Indonesia 
untuk tidak berurusan dengan pasukan Inggris. ",H39003,Soekarno dan Hatta adalah presiden pertama Indonesia,neutral,neutral,contradiction,contradiction,neutral,contradiction,Novel,Neraka di Timur Jawa By Gelar Nugraha
27,P3010,"Pada hari 
ini, mereka telah datang ke tanah Surabaya. Dengan 
jumlah yang tidak sedikit",H310001,Pasukan inggris berjumlah 1000 orang,contradiction,contradiction,contradiction,contradiction,entailment,contradiction,Novel,Neraka di Timur Jawa By Gelar Nugraha
28,P3010,"Pada hari 
ini, mereka telah datang ke tanah Surabaya. Dengan 
jumlah yang tidak sedikit",H310002,Pasukan inggris ingin demo ke Surabaya,contradiction,contradiction,contradiction,neutral,neutral,contradiction,Novel,Neraka di Timur Jawa By Gelar Nugraha
29,P3010,"Pada hari 
ini, mereka telah datang ke tanah Surabaya. Dengan 
jumlah yang tidak sedikit",H310003,Pasukan inggris tidak ada di Tanah Surabaya,entailment,entailment,entailment,entailment,contradiction,entailment,Novel,Neraka di Timur Jawa By Gelar Nugraha
30,P3011,"Hanya dalam hitungan hari, Surabaya akan kembali 
jatuh ke tangan Belanda jika kita tidak melakukan apa apa",H311001,Pasukan Belanda adalah orang Baik,contradiction,entailment,contradiction,entailment,contradiction,contradiction,Novel,Neraka di Timur Jawa By Gelar Nugraha
31,P3011,"Hanya dalam hitungan hari, Surabaya akan kembali 
jatuh ke tangan Belanda jika kita tidak melakukan apa apa",H311002,Surabaya adalah tempat perang,contradiction,neutral,neutral,contradiction,contradiction,contradiction,Novel,Neraka di Timur Jawa By Gelar Nugraha
32,P3011,"Hanya dalam hitungan hari, Surabaya akan kembali 
jatuh ke tangan Belanda jika kita tidak melakukan apa apa",H311003,Dalam waktu 3 hari Surabaya jatuh ke tangan Belanda,contradiction,contradiction,contradiction,contradiction,contradiction,contradiction,Novel,Neraka di Timur Jawa By Gelar Nugraha
33,P3012,"Idris mengerutkan dahinya sembari meminum 
secangkir kopi yang telah disuguhkan",H312001,Idris tidak suka kopi,neutral,neutral,contradiction,contradiction,contradiction,contradiction,Novel,Neraka di Timur Jawa By Gelar Nugraha
34,P3012,"Idris mengerutkan dahinya sembari meminum 
secangkir kopi yang telah disuguhkan",H312002,Kopi yang disuguhkan rasanya pahit,contradiction,contradiction,neutral,neutral,contradiction,contradiction,Novel,Neraka di Timur Jawa By Gelar Nugraha
35,P3012,"Idris mengerutkan dahinya sembari meminum 
secangkir kopi yang telah disuguhkan",H312003,Teh yang diminum idris manis,entailment,entailment,entailment,contradiction,entailment,contradiction,Novel,Neraka di Timur Jawa By Gelar Nugraha
36,P3013,"Idris memang 
merupakan orang yang keras. Abi telah lama 
mengenalnya sejak pertama kali keluarganya menetap di 
Surabaya. ",H313001,Idris adalah orang yang keras kepala,neutral,contradiction,neutral,neutral,neutral,neutral,Novel,Neraka di Timur Jawa By Gelar Nugraha
37,P3013,"Idris memang 
merupakan orang yang keras. Abi telah lama 
mengenalnya sejak pertama kali keluarganya menetap di 
Surabaya. ",H313002,Idris tinggal di Surabaya,neutral,contradiction,neutral,neutral,neutral,neutral,Novel,Neraka di Timur Jawa By Gelar Nugraha
38,P3013,"Idris memang 
merupakan orang yang keras. Abi telah lama 
mengenalnya sejak pertama kali keluarganya menetap di 
Surabaya. ",H313003,Abi adalah sahabat Idris,neutral,contradiction,contradiction,contradiction,neutral,contradiction,Novel,Neraka di Timur Jawa By Gelar Nugraha
39,P3014,"Ilmuku 
bagaikan suatu emas yang tertimbun ratusan meter
dibawah tanah, tidak ada artinya dan tidak bermanfaat.",H314001,Abi adalah orang bodoh,contradiction,contradiction,contradiction,neutral,neutral,contradiction,Novel,Neraka di Timur Jawa By Gelar Nugraha
40,P3014,"Ilmuku 
bagaikan suatu emas yang tertimbun ratusan meter
dibawah tanah, tidak ada artinya dan tidak bermanfaat.",H314002,Abi tidak suka belajar,contradiction,contradiction,neutral,neutral,contradiction,contradiction,Novel,Neraka di Timur Jawa By Gelar Nugraha
41,P3014,"Ilmuku 
bagaikan suatu emas yang tertimbun ratusan meter
dibawah tanah, tidak ada artinya dan tidak bermanfaat.",H314003,Dibawah tanah terdapat ilmu,entailment,entailment,contradiction,entailment,entailment,entailment,Novel,Neraka di Timur Jawa By Gelar Nugraha
42,P3015,"arif adalah anak yang tidak pernah pacaran sebelum nya, saat kuliah tujuan utama nya selain mencari ilmu adalah mencari pacar",H315001,Arif adalah anak pintar,contradiction,contradiction,contradiction,contradiction,contradiction,contradiction,Novel,SIP! By Moehammad Arif
43,P3015,"arif adalah anak yang tidak pernah pacaran sebelum nya, saat kuliah tujuan utama nya selain mencari ilmu adalah mencari pacar",H315002,Kuliah adalah tempat mencari pacar,entailment,contradiction,contradiction,entailment,entailment,entailment,Novel,SIP! By Moehammad Arif
44,P3015,"arif adalah anak yang tidak pernah pacaran sebelum nya, saat kuliah tujuan utama nya selain mencari ilmu adalah mencari pacar",H315003,Arif kuliah di Universitas Udayana,entailment,entailment,entailment,entailment,entailment,entailment,Novel,SIP! By Moehammad Arif
45,P3016,"Temanku sering memanggilku otak dangkal.
Mungkin karena aku kebanyakan mengutarakan teori
aneh dalam menjalankan aktifitas sehari-hari.",H316001,Arif adalah orang bodoh,contradiction,contradiction,neutral,neutral,neutral,neutral,Novel,SIP! By Moehammad Arif
46,        P3016,"Temanku sering memanggilku otak dangkal.
Mungkin karena aku kebanyakan mengutarakan teori
aneh dalam menjalankan aktifitas sehari-hari.",H316002,Teman arif tidak suka dengan arif,contradiction,neutral,neutral,contradiction,contradiction,contradiction,Novel,SIP! By Moehammad Arif
47,        P3016,"Temanku sering memanggilku otak dangkal.
Mungkin karena aku kebanyakan mengutarakan teori
aneh dalam menjalankan aktifitas sehari-hari.",H316003,Aktifitas aris adalah mengutarakan teori aneh,neutral,contradiction,contradiction,neutral,contradiction,contradiction,Novel,SIP! By Moehammad Arif
48,P3017,"Keinginan
memiliki pacar saat SMA pupus lantaran tidak ada
yang mau denganku",H317001,Arif adalah orang jelek,contradiction,contradiction,neutral,neutral,contradiction,contradiction,Novel,SIP! By Moehammad Arif
49,P3017,"Keinginan
memiliki pacar saat SMA pupus lantaran tidak ada
yang mau denganku",H317002,Arif tidak pandai dalam mencari pacar,neutral,contradiction,contradiction,neutral,contradiction,contradiction,Novel,SIP! By Moehammad Arif
50,P3017,"Keinginan
memiliki pacar saat SMA pupus lantaran tidak ada
yang mau denganku",H317003,Arif banyak memiliki pacar,entailment,entailment,contradiction,entailment,entailment,entailment,Novel,SIP! By Moehammad Arif
51,P3018,"Ditemani segelas kopi dan handphone yang
masih menyala, hidupku di kota orang seperti
penjara",H318001,Arif tinggal di kota orang,neutral,contradiction,contradiction,neutral,neutral,neutral,Novel,SIP! By Moehammad Arif
52,P3018,"Ditemani segelas kopi dan handphone yang
masih menyala, hidupku di kota orang seperti
penjara",H318002,Arif tinggal di penjara,entailment,entailment,contradiction,entailment,entailment,entailment,Novel,SIP! By Moehammad Arif
53,P3018,"Ditemani segelas kopi dan handphone yang
masih menyala, hidupku di kota orang seperti
penjara",H318003,Arif suka meminum kopi,contradiction,contradiction,contradiction,neutral,contradiction,contradiction,Novel,SIP! By Moehammad Arif
54,P3019,"Memang selama 2 tahun ini hanya roti itu
yang aku pesan. Tak ada satu pun roti yang dapat
menggantikan roti yang satu ini.",H319001,Arif memakan roti selama 2 tahun,entailment,contradiction,contradiction,contradiction,entailment,contradiction,Novel,SIP! By Moehammad Arif
55,P3019,"Memang selama 2 tahun ini hanya roti itu
yang aku pesan. Tak ada satu pun roti yang dapat
menggantikan roti yang satu ini.",H319002,Arif memiliki roti favorit,neutral,neutral,contradiction,contradiction,neutral,neutral,Novel,SIP! By Moehammad Arif
56,P3019,"Memang selama 2 tahun ini hanya roti itu
yang aku pesan. Tak ada satu pun roti yang dapat
menggantikan roti yang satu ini.",H319003,Arif suka memakan roti,neutral,contradiction,neutral,neutral,neutral,neutral,Novel,SIP! By Moehammad Arif
57,P3020,"Bulan Januari adalah
bulan yang ditunggu-tunggu mahasiswa",H320001,Bulan januari adalah bulan baik,contradiction,neutral,contradiction,neutral,contradiction,contradiction,Novel,SIP! By Moehammad Arif
58,P3020,"Bulan Januari adalah
bulan yang ditunggu-tunggu mahasiswa",H320002,Bulan januari terdiri dari 31 hari,entailment,entailment,contradiction,contradiction,entailment,entailment,Novel,SIP! By Moehammad Arif
59,P3020,"Bulan Januari adalah
bulan yang ditunggu-tunggu mahasiswa",H320003,Mahasiswa menyukai bulan Januari,neutral,neutral,contradiction,neutral,contradiction,neutral,Novel,SIP! By Moehammad Arif
60,P3021,"Pada  masa  pendudukan  Jepang,  Gua  Jepang  digunakan  sebagai  benteng perlindungan tentara Jepang dari serangan musuh",H321001,Tentara jepang mendapatkan serangan,neutral,neutral,contradiction,neutral,neutral,neutral,Buku Sejarah,Sejarah indonesia 978-602-427-122-0
61,P3021,"Pada  masa  pendudukan  Jepang,  Gua  Jepang  digunakan  sebagai  benteng perlindungan tentara Jepang dari serangan musuh",H321002,Gua Jepang terletak di Jepang,contradiction,contradiction,entailment,entailment,entailment,entailment,Buku Sejarah,Sejarah indonesia 978-602-427-122-1
62,P3021,"Pada  masa  pendudukan  Jepang,  Gua  Jepang  digunakan  sebagai  benteng perlindungan tentara Jepang dari serangan musuh",H321003,Tentara jepang telah menjajah Indonesia,contradiction,entailment,entailment,entailment,contradiction,contradiction,Buku Sejarah,Sejarah indonesia 978-602-427-122-2
63,P3022,Kedatangan  Jepang  di  Indonesia  pada  awalnya  disambut  dengan  senang hati  oleh  rakyat  Indonesia. ,H322001,Rakyat Indonesia menyukai kedatangan Jepang,contradiction,contradiction,contradiction,neutral,neutral,contradiction,Buku Sejarah,Sejarah indonesia 978-602-427-122-3
64,P3022,Kedatangan  Jepang  di  Indonesia  pada  awalnya  disambut  dengan  senang hati  oleh  rakyat  Indonesia. ,H322002,Jepang ke Indonesia untuk liburan,entailment,entailment,entailment,contradiction,contradiction,entailment,Buku Sejarah,Sejarah indonesia 978-602-427-122-4
65,P3022,Kedatangan  Jepang  di  Indonesia  pada  awalnya  disambut  dengan  senang hati  oleh  rakyat  Indonesia. ,H322003,Rakyat Indonesia memiliki hati yang baik,neutral,neutral,contradiction,contradiction,contradiction,contradiction,Buku Sejarah,Sejarah indonesia 978-602-427-122-5
66,P3023,Simpati dan dukungan rakyat Indonesia itu nampaknya juga karena perilaku Jepang yang sangat membenci Belanda,H323001,Jepang adalah musuh Belanda,contradiction,contradiction,neutral,contradiction,neutral,contradiction,Buku Sejarah,Sejarah indonesia 978-602-427-122-6
67,P3023,Simpati dan dukungan rakyat Indonesia itu nampaknya juga karena perilaku Jepang yang sangat membenci Belanda,H323002,Indonesia mendukung Jepang,neutral,contradiction,contradiction,contradiction,neutral,contradiction,Buku Sejarah,Sejarah indonesia 978-602-427-122-7
68,P3023,Simpati dan dukungan rakyat Indonesia itu nampaknya juga karena perilaku Jepang yang sangat membenci Belanda,H323003,Belanda menajajah Indonesia dan Jepang,contradiction,entailment,entailment,entailment,contradiction,entailment,Buku Sejarah,Sejarah indonesia 978-602-427-122-8
69,P3024,Dukungan rakyat terhadap Jepang memang tidak seperti awal kedatangannya. Hal ini terjadi karena sikap dan tindakan Jepang yang berubah,H324001,Tindakan Jepang berubah menjadi jahat,neutral,neutral,neutral,contradiction,contradiction,entailment,Buku Sejarah,Sejarah indonesia 978-602-427-122-9
70,P3024,Dukungan rakyat terhadap Jepang memang tidak seperti awal kedatangannya. Hal ini terjadi karena sikap dan tindakan Jepang yang berubah,H324002,Tindakan Jepang tidak disukai rakyat Indonesia,neutral,contradiction,contradiction,contradiction,neutral,contradiction,Buku Sejarah,Sejarah indonesia 978-602-427-122-10
71,P3024,Dukungan rakyat terhadap Jepang memang tidak seperti awal kedatangannya. Hal ini terjadi karena sikap dan tindakan Jepang yang berubah,H324003,Rakyat Indonesia tidak mendukung Jepang,contradiction,neutral,neutral,contradiction,contradiction,contradiction,Buku Sejarah,Sejarah indonesia 978-602-427-122-11
72,P3025,"Setelah  keluar  dari  rumah  Abi,  kami  berjalan melewati    kuburan. ",H325001,Rumah Abi dekat dengan kuburan,neutral,contradiction,neutral,neutral,neutral,neutral,Novel,Salah Sangka By Mohamad Arif
73,P3025,"Setelah  keluar  dari  rumah  Abi,  kami  berjalan melewati    kuburan. ",H335002,Kuburan adalah tampat makam ,entailment,contradiction,contradiction,entailment,contradiction,contradiction,Novel,Salah Sangka By Mohamad Arif
74,P3025,"Setelah  keluar  dari  rumah  Abi,  kami  berjalan melewati    kuburan. ",H325003,Abi tinggal di kuburan,entailment,entailment,entailment,entailment,entailment,entailment,Novel,Salah Sangka By Mohamad Arif
75,P3026,"Waktu  itu  lagi  asik-asinya  main  game  bola sama  Abi,  temen  gue. ",H326001,Abi menyukai permainan sepak bola,neutral,neutral,contradiction,neutral,neutral,contradiction,Novel,Salah Sangka By Mohamad Arif
76,P3026,"Waktu  itu  lagi  asik-asinya  main  game  bola sama  Abi,  temen  gue. ",H326002,Abi dan temannya membeli bola,entailment,contradiction,contradiction,contradiction,entailment,contradiction,Novel,Salah Sangka By Mohamad Arif
77,P3026,"Waktu  itu  lagi  asik-asinya  main  game  bola sama  Abi,  temen  gue. ",H326003,Abi menyukai mobil-mobilan,entailment,entailment,entailment,entailment,entailment,entailment,Novel,Salah Sangka By Mohamad Arif
78,P3027,Saat bulan puasa pasti banyak dari kita melakukan aktifitas   olahraga   di   pagi   hari.   Untuk   menjaga kesehatan     dan     menjaga     stamina     alasannya.,H327001,Bulan puasa adalah bulan olahraga,entailment,entailment,entailment,contradiction,contradiction,entailment,Novel,Salah Sangka By Mohamad Arif
79,P3027,Saat bulan puasa pasti banyak dari kita melakukan aktifitas   olahraga   di   pagi   hari.   Untuk   menjaga kesehatan     dan     menjaga     stamina     alasannya.,H327002,Olahraga di pagi hari memiliki manfaat yang baik untuk kesehatan tubuh,neutral,neutral,neutral,neutral,contradiction,neutral,Novel,Salah Sangka By Mohamad Arif
80,P3027,Saat bulan puasa pasti banyak dari kita melakukan aktifitas   olahraga   di   pagi   hari.   Untuk   menjaga kesehatan     dan     menjaga     stamina     alasannya.,H327003,olahraga di pagi hari membuat capek,entailment,entailment,entailment,entailment,entailment,entailment,Novel,Salah Sangka By Mohamad Arif
81,P3028,"Setelah  capek lari,  dan  gue  berhasil  meraih podium    nomor    dua.    Kita    sama-sama    sepakat berhenti. ",H328001,Anak-anak sedang lomba lari,contradiction,contradiction,neutral,neutral,contradiction,contradiction,Novel,Salah Sangka By Mohamad Arif
82,P3028,"Setelah  capek lari,  dan  gue  berhasil  meraih podium    nomor    dua.    Kita    sama-sama    sepakat berhenti. ",H328002,Berlari adalah olahraga yang menyehatkan,contradiction,contradiction,contradiction,contradiction,neutral,contradiction,Novel,Salah Sangka By Mohamad Arif
83,P3028,"Setelah  capek lari,  dan  gue  berhasil  meraih podium    nomor    dua.    Kita    sama-sama    sepakat berhenti. ",H328003,Anak-anak berhenti karena capek,neutral,neutral,neutral,contradiction,contradiction,neutral,Novel,Salah Sangka By Mohamad Arif
84,P3029,"Setelah    suasana    hati    kami    mulai    reda, matahari   sudah   mulai   muncul.   Kami   kembali   ke  tempat   kami   lari   tadi.",H329001,Anak-anak lari pada pagi hari,neutral,neutral,neutral,neutral,contradiction,neutral,Novel,Salah Sangka By Mohamad Arif
85,P3029,"Setelah    suasana    hati    kami    mulai    reda, matahari   sudah   mulai   muncul.   Kami   kembali   ke  tempat   kami   lari   tadi.",H329002,Anak-anak suka oalahraga lari,neutral,contradiction,contradiction,contradiction,contradiction,contradiction,Novel,Salah Sangka By Mohamad Arif
86,P3029,"Setelah    suasana    hati    kami    mulai    reda, matahari   sudah   mulai   muncul.   Kami   kembali   ke  tempat   kami   lari   tadi.",H329003,Anak-anak lari di kuburan,entailment,entailment,entailment,contradiction,entailment,entailment,Novel,Salah Sangka By Mohamad Arif
87,P3030,Seminggu  setelah  kenal  kami  sangat  dekat. Hampir setiap hari gue sms dia. Atau gak sebaliknya. ,H330001,Mereka kenal baru seminggu,contradiction,neutral,neutral,contradiction,contradiction,contradiction,Novel,Salah Sangka By Mohamad Arif
88,P3030,Seminggu  setelah  kenal  kami  sangat  dekat. Hampir setiap hari gue sms dia. Atau gak sebaliknya. ,H330002,Mereka saling mengabari selama seminggu,neutral,contradiction,neutral,contradiction,neutral,neutral,Novel,Salah Sangka By Mohamad Arif
89,P3030,Seminggu  setelah  kenal  kami  sangat  dekat. Hampir setiap hari gue sms dia. Atau gak sebaliknya. ,H330003,Mereka berpacaran selama seminggu,entailment,entailment,contradiction,entailment,entailment,entailment,Novel,Salah Sangka By Mohamad Arif
90,P3031,"Malam yang cukup dingin untuk keluar malam, apa
lagi di luar masih gerimis.",H331001,Malam itu hujan turun,neutral,contradiction,neutral,neutral,contradiction,neutral,Novel,Bebeb By Mohamad Arif
91,P3031,"Malam yang cukup dingin untuk keluar malam, apa
lagi di luar masih gerimis.",H331002,Malam itu udara sangat panas,entailment,entailment,entailment,entailment,entailment,entailment,Novel,Bebeb By Mohamad Arif
92,P3031,"Malam yang cukup dingin untuk keluar malam, apa
lagi di luar masih gerimis.",H331003,Malam itu adalah malam minggu,entailment,contradiction,contradiction,entailment,entailment,entailment,Novel,Bebeb By Mohamad Arif
93,P3032,"Sesampai di perempatan aku diajak andre ke rumah
dewi, tempat tinggal cewek yang akan aku tembak.",H332001,Dewi meninggal karena ditembak,entailment,contradiction,entailment,entailment,entailment,entailment,Novel,Bebeb By Mohamad Arif
94,P3032,"Sesampai di perempatan aku diajak andre ke rumah
dewi, tempat tinggal cewek yang akan aku tembak.",H332002,Andre dan arif adalah polisi,entailment,contradiction,contradiction,entailment,entailment,entailment,Novel,Bebeb By Mohamad Arif
95,P3032,"Sesampai di perempatan aku diajak andre ke rumah
dewi, tempat tinggal cewek yang akan aku tembak.",H332003,Arif adalah penjahat,contradiction,contradiction,entailment,entailment,entailment,entailment,Novel,Bebeb By Mohamad Arif
96,P3033,"Yang ku tahu tentang cewek adalah
manusia labil dengan perasaan misterius. Tak ada
yang dapat menebak perasaan cewek.",H333001,Cewek adalah manusia misterius,contradiction,contradiction,neutral,neutral,contradiction,contradiction,Novel,Bebeb By Mohamad Arif
97,P3033,"Yang ku tahu tentang cewek adalah
manusia labil dengan perasaan misterius. Tak ada
yang dapat menebak perasaan cewek.",H333002,Cewek memiliki sifat susah ditebak,neutral,neutral,neutral,contradiction,contradiction,neutral,Novel,Bebeb By Mohamad Arif
98,P3033,"Yang ku tahu tentang cewek adalah
manusia labil dengan perasaan misterius. Tak ada
yang dapat menebak perasaan cewek.",H333003,Cewek adalah orang jahat,entailment,contradiction,entailment,entailment,entailment,entailment,Novel,Bebeb By Mohamad Arif
99,P3034,"Waktu itu aku dan andre merencanakan untuk
memutuskan hubunganku dengan anabale.",H334001,Arif dan Andre adalah musuh,contradiction,contradiction,entailment,entailment,entailment,entailment,Novel,Bebeb By Mohamad Arif
100,P3034,"Waktu itu aku dan andre merencanakan untuk
memutuskan hubunganku dengan anabale.",H334002,Andre berteman baik dengan anabale,contradiction,contradiction,contradiction,neutral,contradiction,contradiction,Novel,Bebeb By Mohamad Arif
101,P3034,"Waktu itu aku dan andre merencanakan untuk
memutuskan hubunganku dengan anabale.",H334003,Aku tidak kenal dengan Andre,contradiction,contradiction,contradiction,contradiction,contradiction,contradiction,Novel,Bebeb By Mohamad Arif
102,P3035,Internet Data Seluler saat Nyepi Tahun 2021 dipastikan mati Minggu 14 Maret 2021 mulai Pukul 00.00 Wita sampai Senin 15 Maret 2022 06.00 WITA,H335001,Internet Data Seluler akan dimatikan saat Nyepi,contradiction,contradiction,neutral,contradiction,contradiction,contradiction,Berita,https://bali.tribunnews.com/2021/03/05/nyepi-tahun-2021-internet-data-seluler-mati-30-jam-minggu-sampai-senin-pukul-6-pagi
103,P3035,Internet Data Seluler saat Nyepi Tahun 2021 dipastikan mati Minggu 14 Maret 2021 mulai Pukul 00.00 Wita sampai Senin 15 Maret 2022 06.00 WITA,H335002,Internet Data selular akan dinyalakan pada 14 Meret pukul 07.00 WITA,neutral,neutral,neutral,neutral,neutral,neutral,Berita,https://bali.tribunnews.com/2021/03/05/nyepi-tahun-2021-internet-data-seluler-mati-30-jam-minggu-sampai-senin-pukul-6-pagi
104,P3035,Internet Data Seluler saat Nyepi Tahun 2021 dipastikan mati Minggu 14 Maret 2021 mulai Pukul 00.00 Wita sampai Senin 15 Maret 2022 06.00 WITA,H335003,Selama Nyepi saya tidak bisa menggunakan data seluler,entailment,entailment,entailment,entailment,contradiction,entailment,Berita,https://bali.tribunnews.com/2021/03/05/nyepi-tahun-2021-internet-data-seluler-mati-30-jam-minggu-sampai-senin-pukul-6-pagi
